text,class
محلاك عيشوشة نموت عليك,tunisia
و الشمس غنوة من الزنازن طالعة .. و مصر غنوة مفرعة في الحلق,egypt
قدموني فمسابقة توضيف ولكن امكن كي قلو لي بلايس تسلاو شحال هدي,morocco
نقد نسجل فيه إن شاء الله,morocco
درك انتي ماستار دو و رايحة تكملي دوكتورا وعلاه حابة تعملي دوكتورا لهيه قبل ما ديراها هنا,algeria
وعلاه نتا حا تستقاملك روحة لباتنة بخمسميا,algeria
طحان طحان زايد.,tunisia
غوالمي,morocco
هاه مكانش مشكل,algeria
إلى خرج من شي بلاصة غدي تحبس هديك البلاصة,morocco
عجبني واحد الصباط طالياني زوين,morocco
اكيد تشتغل ومخلي بنتك فيها ! اتمنى انك استفدت من الدرس هذا يا ابو علي,egypt
على بالك كاين نص ساعة فرق سوى العشرة ونص سوى لحداش,algeria
عندما يكسب حسام حسن وابراهيم حسن وينجحوا ويحققوا انجازات، تبادرون بسرعةةةةة الي القول بأن حسام وابراهيم ابناء الاهلي وتربية ايده وفضل الاهلي عليهم عظيم,egypt
نطلع آه,algeria
أكي أدي و حطاها في المدرسة,algeria
تعجبني برشا وياسر متألقة انشاء الله تكملي هكاا    :*,tunisia
معلم و كلامك منشبعوش منو (y),tunisia
يفلقو أي مدايرة عرض أزياء للبسة أي كل خطرة بحاجة,algeria
كلك فاسد مسخ يافار لحبس عبيثة نعن زبور أمك ياطحان ياولد قحبة,tunisia
ملا تفاهة,tunisia
قال لي تقدر قلت له ايوا علاش ماتعطيهومليش دبا وسالينا,morocco
مازالت ليدولور عندك نتيا,algeria
تليشارجيه,algeria
بيان سور يستعملوا التصاور تاع الستيليت ، بصح الحسابات هما اللي يعطوا النتيجة,algeria
بتلاتين ربعين أم كاين وحايد الروايح صغار خلاه قﺪ هك,algeria
مكن غدي يبيعوه,morocco
ألكسيس نصر من أكس خدام ف اللهجة المصرية,morocco
فين يديها,morocco
والدين سبوبه,egypt
مقلتش دكشي ولكن شحل هدي مكنتش غدي نتشرط في هاد الأمور ولكن دابة,morocco
احلي حوار تونسي,tunisia
يعطيك اصحا سامي,tunisia
bravo ممثلة عظيمة من أفضل الممثلات في تونس واصلي و ربي يوفقك,tunisia
عيطت,algeria
حلقة ماسطة بخلاف بلطي,tunisia
عجبتني برافو,tunisia
بجد مفيش تعليق غير ان الحكومة طارشة مش بتسمع الصراخ والعرب وخدين منوم ومش هيفوقوا منه الا علي حرب اسرائلية عليهم,egypt
و انت وين عامبالك كون ما جاش يتباع ما يسرقوهش,algeria
كلش نورمالومون عندو,algeria
أد حيديه,morocco
هالشركات يعني ماشالله ماتمشي الا بالشريعه الاسلاميه,egypt
.احسان. ...مبدع. ....مفكر. ...عظيم جداً,tunisia
"""قليل الحياه  و كلب و طحن هرب خاطر الرحموني يكشف في الارهاب السياسي و الامني ما عجبتكمش الحقيقة يا اعلام الزبالة و يا شعب يا رخيص و تموت كان على شكون ينيك بلعصا _x000D_",tunisia
هنا,algeria
لا تيقيني والو,morocco
الكوبليه بتاع عبد السلام في اغنية عم يا صياد  هي احلي حاجة في الاغنية ,egypt
عبد الفتاح مورو الوحيد اللي في حزب النهضة كلاموا منطقي و معقول,tunisia
يو القيامه هتسال عنها,egypt
و اليوم مالا وش رحتي درتي,algeria
تمنطاش,algeria
تفضلي لالة,morocco
خرجات مع مها,morocco
عمرها تلتين تقريبا ولكن باقي كتبان عندها عشرين,morocco
ربنا يستر ونكونش زى العراق,egypt
قرد في هيءة انسان و زيد اضحك ناقصوا طيشولوا  كاكي,tunisia
أومبعد ما كاين والو,algeria
لا يليق بهذا البرنامج,tunisia
يانا ضحكت ضحك.,egypt
أنا حرة عطيني شي خدمة باينة أنا متنبغيش نتسارا هكدا,morocco
ينهار ابيض ع الجول اسلام جمال صعبان عليا والله بالغضروف اللى جاله ده ,egypt
انا معتش فاهم حاجه,egypt
حلوة عسل لا شهد,tunisia
صافي لقيت,morocco
هو مختارين والو هدشي لي كان بقى عندهم,morocco
حسيتو مساط السنة البرنامج,tunisia
أنا مالفا تعيطي لي بأدا قلت بلاك أدا هو لي دايما تستعمليه,algeria
سمعيني أ البنة,morocco
إيه وعلاه قلت لك واع مالا,algeria
هدي أديها بخمسة و عشرين ألف,algeria
أنت بالذات كلمة وحدة تكفيك اخييييييييت,tunisia
"عملو العار . منافقين .... الى الان ""سيد الريس ""؟؟؟ ما هذا ايها الابله !! ما عادش يجيني شيء عجب في هالبلاد ..",tunisia
استغفر الله و برة الشي الي صاير يحشم نشاله ربي يسمحنا ولله علامات الساعة هاذم و لاخر جاي يمد في وجهو و يدافع خيييييت عيفتوني في حياتي و احمد الاندلسي سيدك يا... لي تحكي عليه ياعاهرة ياعار على لمرا التونسية تڨعدي وهف يهزك,tunisia
تي شبيك ماسط حاقهم يحطوك تخدم في مكتب العلاقات مع المواطن,tunisia
احلى جعفور,tunisia
عادي لحوايج ولا شي حاجة,morocco
هو قصر مني,morocco
ماكان والو اتمناي حاجة,algeria
الناس بداو يتولهو بهدا الموضوع على خاطر في الماركان بداو يخدموا على هدا السوجي,algeria
نتما كي تحب ادير ويفي يعطيوكم مودام جديد,algeria
الاخ ابراهيم حسن فاكر انه لما يجرى فى الملعب ويعتدى بالضرب على كل من يقابله انه بكده امام الجماهير بيحب الزمالك ومايعرفشى انه بيضر النادى امام العالم,egypt
طبعا ...........كلوا كلام كدب............. انا اعرف سيدة المحافظ انه رجل طيب جدا.....ولا يمكن انه يكون عارف الغلط ويسكت عليه..واخيرا هقول العين عليك كتيرة,egypt
قارن بين اداء الزمالك ف السيزون التاني واداء الاهلي اللي بيكسب بالحكام,egypt
يا ميدو,algeria
قلت لهم مقبيلة ما تمديها لحتى واحد كي نسحقها نجبدها,algeria
راني وصيتهم ، أتونسيون لينون مادام قلت لهم كلش يتحفظ بالترتيب ،و صورهم كامل، درك نقرا أساميهم,algeria
شفتي تفضلي هدا تنعطيه ل أول مرة هاد الليلة,morocco
أنا ﻧقولها عيشة أني مريضة و هي تقول روحي برك,algeria
غادي نسينيو المحضر نهار الحد,morocco
تيقولو يقد تفتن أي واحد,morocco
ڭال لي الطبيب خاصك عملية ديال القلب,morocco
تفكرتي هداك الألام لي كان جاني,morocco
خليني منه هذ الشيء تيعني ماتيهتمش بيا نهائيا,morocco
عندي القرزي و عندي هادي,algeria
عائلة مريييييضة ربي يشفي لمرضاااا,tunisia
زرعلنا البسمة و الفرحة في صغرنا,tunisia
وانت تاني سليمة,algeria
يجب ان تواروا التراب عليه من بدري بدري - فهو من اعظم الوزراء هرتله - اقصد هباله وللاسف- فأني يصعب عليا فرملة اللسان = او اعمل استرس علي الالفاظ,egypt
بخص بيه تعرفي قريب راح ننطق ﻧقل له هاني انا ما عنديش فايسبوك أو تاع الناس الفارغة شغل,algeria
انا بجد حتى الحد الادني من الاجور ده في نظري قليل اوىىىىىىىى,egypt
نور شيبة نور علا  راك وهرة,tunisia
ايه مالمرض يا سهام و زيد هوما لله يبارك فاميلية كبيرة شفتي,algeria
عشرة شوية,algeria
الحمد لله أنا تنقرا الملف لي صيفتيه,morocco
شتا كتصب دابة,morocco
صراحه عيب عيب ياشيخ,tunisia
المخرج عاوز كده,egypt
والله ما امسط من نجلاء كان انت والفن تكب سعدا من نهار لشدية انت نقيب الفنانين برا شوف خدمة اخرى خيرلك انت عملت عار وريحة اكثر من نجلاء ....ياسيدي شيخ .....تحكي على الفن شنوا مستواك انت تي انت ونجلاء كيف كيف انت م .. وهيا ق... ورجال ميتحقرش يابهيم موش ندافع على الدالاجي اما حسب من شوف خير منك وعطى في ميدان متعوا خير منك .....مرخصك حاصيلوا .........يا مسخ تفوه عليك وعلى قدرك كان عندك فدر ............,tunisia
خلاها كمال ، كنت عيانة ، مشى لعيا,morocco
نقول لك أو بقى كاس لهيه في الكوزينة فيه التاي لكان تشربي,algeria
كحلة و بيضة,morocco
علابالك بلي الماء تاع البحر ينحي السحر,algeria
ازا كان قد خسر شوبير فهو قد خسر كثير من المشاهدين وخسر ايضا قناة الحياه فهى قناه مميزه ولها اطلاله جمليه اما قناة الحياه فهى قد خسرت اعلامى كبير مثل شوبير فهو اعلامى مميز اما بنسبه لخسرت قناة الحياه اموال كزاب لان قد اخزت الكسير من وارء برامج شوبير وشكرا,egypt
مبقاش ناقص غير شويه طلبه الي يعملوا المظاهرات وكمان يطالبوا بتغير الماده ايش فهمهم هما في السياسه اصلا كله بقي يفتي وخلاص,egypt
ما يسجلش أدا,algeria
اصلا جمال روحك و صدقك وحبك لبوك ..  ورضاية الوالدين يكفيك ارفعي رأسك  دائما مهم كانت طبيعة الناس..  وربي يشفيك إن الله مع صابيرين ان الله  يمهل ولا يهمل يا أحباب الله إدعو لها بشفاء.......,tunisia
تخيلي أنا تنغمض عيني و تنبكي و هو تيقول لي حلي عينك أ بنتي,morocco
بصراحة تحفونة وتضحك,tunisia
ولكن البلاد لي فيها الضلم و الفقر و البيبان ديال المستقبل مسدودة تكون كحلة,morocco
من بعد نمشيو قدام الشوميني و ناكلوه مع الخبز لي تتوجدي نتي,morocco
يشريه بابا,algeria
عرفني آ خولة حورية علمتني كيفاش نقدم القهوة,morocco
قناة تافهة ومنشط باسل و ضيوف لاجديد لهم كان تقشقيش الحناك ..أحسن حاجة تعملها خويا وأختي العزيزة تسكر التلفزة ولا تعمل Mute,tunisia
قالت لي نعيط نسقسي,algeria
بالصح البلاد لي فيها الظلم و الفقر و بيبان المستقبل مغلوقة تكون كحلة,algeria
مرأ مثقف,tunisia
قسحني ولكن غير جوجو دقايق ولا قل عادي نقد نتحمل,morocco
كون تسنيتي حتا يجي شي حد من عائلتك,morocco
دخل الحروف الخاصة ف وورد من بعد كوبيي كولي,morocco
لعنكم للله,tunisia
كي خشت عندهم باب وحدوخر زادت خرجت منو,algeria
و تعطيني تليفون الحمر نخدم بيه شوية,morocco
نلعبو دومينو,algeria
حتى هي قالت لي تحبي توكليه,algeria
يجري يجري امبعد تطلع و هو واقف نورمال خلاه,algeria
نديه نشا الله أفاك مونسيون,algeria
المهم سافا انت,algeria
أعوذ بالله من الشيطان الرجيم،....,tunisia
الله لا تربحك و لا تربح الي جابك في البرنامج و لا تربح الإعلام الي يحب يروج للخمج الي قاعدين نشوفوا فيه كل يوم,tunisia
الجزائر وشعبها وحكومتها وادارتها وكل شيء فيها فاقد الثقة بالنفس لدرجة مرعبة هو ليه لما بينجحو في الكورة ولا في اي مجال لازم يتم مقارنته بمصر الغالية وضمنيا نطلع احنا متخلفين وتربية شوارع وهم فوق الكمال بشوية كمان ده يا جماعة عدم ثقة بالنفس لدرجة الردة الاجتماعية والثقافية والديينية !! انا لو واثقة في نفسي بنجح بدون قصائد ولا جرائد ولا فضائح بنجح في هدوء ونجاحي هو من يتكلم ويشير عني وعن اجتهادي,egypt
اه باش متعياش,morocco
نقرى درك,algeria
واش راح ندير بيه ؟بلادنا ماهيش تاع ديفلوبمون لوكان جيتي انتي في بلاصتي واش تديري,algeria
نعم باقي في السنة التانية,morocco
لا غير غدا,morocco
التون,algeria
حلوا يهبلوا عينيك,tunisia
ياسر معدة ياسر و ديما يعيط يفدد,tunisia
الشعب المصرى يستهل السحل مش الحرية اشعب الذى لا يدافع عن الاعراض الذى تنتهك فى الشارع هو شعب سلبى منبطح بكل معانى الانبطاح شعب لا يؤمن ان الله هو الرازق لا يؤمن بكتاب الله وسنة الرسول ولا الحديث القدسى لا تخف من ذي سلطان، ما دام سلطاني وملكي لا يزول، لا تخف من فوات الرزق، ما دامت خزائني مملوءة لا تنفد. خلقت الأشياء كلها من أجلك، وخلقتك من أجلي، فسر في طاعتي، يطعك كل شيء. لي عليك فريضة، ولك علي رزق، فإن خالفتني في فريضتي، لم أخالفك في رزقك، إن رضيت بما قسمته لك، أرحت قلبك، وإن لم ترض بما قسمته لك، فوعزتي وجلالي، لأسلطن عليك الدنيا تركض فيها كركض الوحوش في البرية، ولا ينالك منها إلا ما قسمته لك، وكنت عندي مذموما.,egypt
ملي كيعيى كينعس عليها هذ السيد كيبغي ينعس هكذا,morocco
علاخاطرش أنا إيتوديونت و حابة نكمل قرايتي قبل الزواج,algeria
سمعت بالطيارة تاع دزاير باريس الي راحت هازة خمسة عباد زايدين,algeria
مالين لعريس و لعروسة عزوزتي و كنتي,algeria
كن كنت بلاصتك كن قلت ليه أنا متنهدرش معاك,morocco
وعلاه مقبيلة قلتي لي لالا نقعد هنا,algeria
مسلسلتافه لممثلين تفه في قناة تافهة,tunisia
مرة طيحتلي اﻟﭙﺴﻲ,algeria
بالسيف تحبو,algeria
عملت اونتروتيان في وحد لانستيتو عيطولي باش نقري,algeria
خزرت فيه ﻟقيته يكتب في لوردوونوس,algeria
جرذ,tunisia
تفتخرو وانتو معندكمش حاجة اصلا تفتخرو بيها,egypt
حليلك يا مهدي شنوة باش تقاصي,tunisia
كونترا عند بﺮيفي,algeria
مرا كاسحة و ما تعرش تجامل ... نحترمها !,tunisia
آه بدات تعطيهم في السم تحطلهم فيه في الما كون تشوفيهم تعطيهم البيبرون,algeria
غدا أنا مسافر,morocco
اولا ربنا يشفى كل مريض ويشفيه ولا داعى من الاخوة للتشفى او التريقه؟ لننا كلنا معرضيين للمرض لكن اود ان اوصيه بالتغفير عما صدر منه خلال فترة عنفوانه وكل ابن خطاء وخير الخطائيين التوابيين ولا ايه وياريت الباقى ياخذ ذلك عبرة ويعلم اننا ملاقيين رب كريم وانها اى الدنيا غير باقيه لاحد وقبل ان نقول ( ما اغنى عنى ماليه هللك عنى سلطانيا) وردوا المظالم الى اهلها ( الشعب الغلبان يعنى اللى مش عارف يتعالج بالمستشفيات الحكومية مش فى امريكا والمانيا وفرنسا !!!!!!!!!!!!!,egypt
اسمه معروف و راجل كان عنده قال لي روحي لبن مهيدي و شكرلي فيه هداك قمة و قال لي هدا لي راكي رايحة ليه انت جامي ما سمعت بيه علابيها درت عنده أنا,algeria
الموضوع مش موضوع عراق وبتاع، ده حيأثر بعد كده على الرئيس الجديد - لو جديد أصلا -، لأنه حيكون دلدول هو كمان لأمريكا,egypt
بسراحه نستاهل اكتر من كده,egypt
نتا شكيتي,morocco
كاش نهار كاش نهار نهربلك أ بﺎبﺎ والله ما ﺗﻠقﺎﻧﻲ,algeria
حفتريش,tunisia
بابا بالخميس راح لتبسة,algeria
لازم يروح يخدم على روحو,algeria
رائعة ... مثال للمرأة التونسية المناضلة و يحق للنهضة ان تفتخر بهاته السيدة ....,tunisia
صافي سعيد ماشي جاي عالبرنامج اعملولو برنامج احسن,tunisia
الغراب هو قناة #الحمار والفولة هي هذه التافهة_x000D_,tunisia
أيا تهلاي نرجس,algeria
عيطات لي و أنا تماك كنقرها,morocco
قﻠﺖ نسناك نوكلو مع بعضانا,algeria
وعلاه هو وش يخدم,algeria
منين رايح نشري القهوة,algeria
شكون سجل,morocco
نها تجي ﺗقال لي دزاير سجلت على دزاير بيت,algeria
برجولية معلم جعفور,tunisia
كنت كنسحابك واعية,morocco
هدوك لي تيمشيو ل كندا حاجة وحد اخرة,morocco
أنا معرفة ولو في قصة الإنتخابات,morocco
على بالك أنا لو أونز نروح لفرنسا,algeria
وحدك يا جعفور في جو وضمار وأنتي ديما علي طبيعتك,tunisia
ايهاب توفيق وبس الفن توقف عندو,egypt
لا لوم ع الطالبي خاطر مضبع و داخل في حيط اما اللوم علي جاب الرهوط,tunisia
و بالتالي حاتخلي اعداد كبيرة من الناس تنزل للشارع و حاتربك الامن,egypt
قال عمارة قال.,egypt
نشا لله,algeria
سارة قالتلك ماما أو طاب,algeria
واش ﻳقولك تقرا تلقى,algeria
يجيبهولك في قزديرة,algeria
معلوم التمرين واجب,morocco
آه  نعرفها تقول شنوية,algeria
بوزينك  محلاك  ربي معاك,tunisia
أيا بيان بان حتى هو ما قدمش,algeria
راني قلتلك أتونسيون تهدري قدامهم هدرة ماشي مليحة أم يرفدوها الدراري الصغار,algeria
 هسيب اي اعلان لكم او اي حد ليه رغبة في شراء أدوات كهربائية الاونصحته بناءاعن تجربة شخصية فأنتم لا تح… ,egypt
خيه ملا تخلف يا ربي هزهم و رتحنا منهم منافقين و عملا كفار,tunisia
الله اكبر علي هالزين,tunisia
إلى حاولت بكل جهدي ما عندي لاش ندير السوايع,morocco
تلقائية...,tunisia
توفيق انسان فاهم كل شئ وصريح ومعبر جدا بحركات وجهه لا يقدر عليها كل إنسان لا ينافق وأنه يعرض مسرحياته فالسجون فهذا عمل يشكر عليه وهو وصل لدرجة الحقد على النهضة لما صرنا إليه من ألم وحزن بحكم هذا الحزب المقنع,tunisia
يا تري كان الاسلام الحل فين بالضبط؟؟,egypt
حفله تكريم لمين لحلمى :/ ع ايه ده يتكسر وراه قله اقل تكريم,egypt
بس انتوا برضوا خدكوا بالكوا من نفسكوا,egypt
مااحلاك عبد الفتاح مورو.,tunisia
هزي الصحونة برك هزي عندك تنسايهم,algeria
بصراحة ماسط المسلسل و معجبنيش حتئ ترف,tunisia
بالله تصوروا الخامج هذا يعمل في رضعة!!!!! خخخ,tunisia
فين غادي,morocco
آه كيما أك واحد ما يضربك بعين,algeria
والديك ميتين يحييهملك,algeria
راك زين وعين وخد وكد يا امونا يا تحفونا,tunisia
أداكا سكنو جن أداك,algeria
فين غادي يحطوهم ، تيبقاو تلت سنين و تيخليو الدور ل غيرهم,morocco
يعيطلنا الجبورة,algeria
و مريم دارت دكتوراه,algeria
قلنا ليه عطينا شي أيام على الأقل,morocco
متمكن و اختصاصو و حتى لوكان ينتقدني ينتقدني بحوايج نستفاد منها ناجي ماشي اختصاصو قﺎع يجي ينتقدلي الغلاف و ترقيم الصفحات,algeria
كاين منها صح أنا عمبالي الأول,algeria
شفت حلقة في لنترنت بلي هو في الحلقة لخرة ما يموتش و يزيد يجيب طفلة مع ياسمين,algeria
أ سارة قالت لي عيشة قراتها في أنترنات ما لازمش نلعنو الشيطان قﻮﻟﻲ برك أعوذ بالله,algeria
برجولية  محلاها والله  علاش تبرو عليها  فنانة وعليها لكلام   ربي معاها  أخوك من الجزائر <3  ولي تقرى رسايل باهية برشة,tunisia
"فى المجال العلمى أحمد زويل اعظم عالم على الإطلاق ,مجدى يعقوب اعظم جراح على الإطلاق,,فى المجال الفنى أحمد السقا نجم الشباب الأول,محمد هنيدى نجم الكوميديا الأول,عمرو دياب, محمد منير, هانى شاكر ,مدحت صالح,محمد الحلو نجوم الطرب المحترم (مش سعد الصغير اللى بيحب وبيغنى للحمير:))فى المجال الإعلامى عمرو اديب اعظم إعلامى على الإطلاق و اول واحد عمل talk show قبل ميقلدة كل البشر حاليا,,فى مجال الأدب نجيب محفوظ اعظم اديب على الإطلاق,,فى المجال الرياضى حسن شحاتة و ما ادراك ما حسن شحاتة اعظم مدرب على الأطلاق...وحدث و لا حرج فلا استطيع ان اذكر الملايين و لكنى حاولت ان أذكر بعض الtop منهم فقط حتى يعلم الأهلوية ان حقا الصفوة فى كل المجالات هم الزملكاوية,,هذا بجانب الناس المحترمة الى كتبت تعليق على بذاءات جماهير الأهلى بكل إحترام دول بس كفاية..",egypt
من ابلغ عن السكرتير هو القاضي والمؤكد انه يتميز بالصحصحه اما غيره فيحتاجون لجرعات منشطه لدحر امبراطوريه سكرتاريه الجلسات والتي يوكل اليهم ما فد يتلاعبوا فيه وبالتالى ان يضيع حقك قانونياً مثل احكام البراءه التي لا يشترط القانون توقيعها من القاضي وبالتالي فهو بابا واسعاً للتلاعب من خلال السكرتاريه ومهما اشتكيت هيقولولك القانون كده وسلملي علي العداله,egypt
هو وعلاه  يدخلهوله من,algeria
اه,morocco
قالو جبور تانا أدي وسي سور كدب قالو واحد يلعب معاه في ليكيب من الكامرون جا يسلم عليه ما حبش خطراه هو من ليكيب لي رفضت تلعب معاه,algeria
محسيتش براسي ونا نقول ياربي غادي يمشي لكار على أسامة,morocco
تطلع علينا الدراسات والنسب المؤيةوان السوق بحاجة الى كذا شقة والمعروض كذا شقة.,egypt
ناس يموتوا و دراري يتيموا حاب نعيط و نخرج أدا الدمار لي فيا,algeria
باينة خلاه حكمتي رجل,algeria
تنكتب دابا الإستدعاأت ديال جووج ديال اليلاميد عندي,morocco
وش من شيكولة درتو في القاطو,algeria
ياوزير الداخلية اتفرج على رجال الامن واللة دى مسخرة لما حامى الوطن يعمل كدة وبلاش نعاتب الغرب لما ينقدو الحجاب ...........وهل يقدر يعمل كدة مع واحدة لبسة قصير ومتبرجة...والى الاخ الغير محترم صاحب تعليق 9..ترضى ان امك او اختك يتعمل فيها كدة ياريت تسكت خالص................وعلى فكرة انصح الطالبة المحترمة ان ترفع قضية على امن المعهد واية لزمة وجود امن فى المعاهد والكليات....والشرطة فى خلع الحجاب.........عيب يابلد لما الشرطة نعمل كدة...........وللة الامر من قبل ومن بعد.....انشر من فضلك,egypt
الله ينور عليك.,egypt
اعز رابارات في تونس بلطي و كافون,tunisia
قلتلو نتوما الواحد يتعلم كلمة جديدة تبحروهالو,algeria
أنا خاطيني الاعراس,algeria
شوية بصح نضن لازمة ما عندنا والو في بلادنا أوموان واحد يبدل شوية ويتنفس شوية تقدم,algeria
ترجمها لي بحدو,morocco
هادي المرة اللولة لي تنشوف وجهك بحال هاكة,morocco
عيشوشة مجاتش,morocco
متخلف,tunisia
أمسط واحد فدنيا,tunisia
والله. علة على القلب وعلى الشعب التونسي,tunisia
علاش تيسحاب ليك بلي أنا طول حياتي معمري تسوقت ل قصص الإنتخابات هادي,morocco
كيفاش تقولي لي بلاك لا بلاك لا هم يحزنون ادي هدرة تاع وحد ما شاف حتشي في حياتو,algeria
شفتي أ بنتي أداكا وش قﺘﻠﻬﺎ أنا وسي,algeria
لا البرتابل كان طافي,morocco
شكرا يا د/ طلعت سالم على المعلومه القيمه ده,egypt
كيقولو بلي عندو شي حاجة ف جبهتو متيشوفها غير لمسلمين صافي,morocco
حسين الديك كريزمة وفنان فريد في فنه,tunisia
وش أدا الإضراب,algeria
حسبي الله ونعم الوكيل فيكم إعلام عار,tunisia
وين ماشي عريت اتونسه يارخيص رهم ابنا بلادك وين رجوليتك وغيريتك علي اصغار بلادك,tunisia
خليه برك وش رايحة اديري بيه,algeria
تنوض يرفدوها,algeria
الطحان اللحاس كلب التجمع,tunisia
السام عليكم. أولا انا اهلاوى لكن أحب دايما أقول الحق و لو على فريقى.بصراحة احترامى و تقديرى لكابتن حسام حسن زاد جدا امبارح لأنه فضل هادى و كان عنده ثبات انفعالى رائع جدا.أيضا لم أصدق ان هو ده شيكابالا سريع الانفعال و الغضب سابقا.أعتقد ان فعلا حسام حسن أعاد اكتشاف شيكابالا و أعاد تأهيله نفسيا.فعلا امبارح وضح جدا النضج على حسام حسن أولا و على شيكابلا ثانيا.أتمنى أن يستمر هذا السلوك القويم من هذا الثنائى لأن المستفيد هو الكورة المصرية مش الزمالك لوحده.,egypt
و هي ما علابالهاش ﺁسكو معاها ولا لالا,algeria
ايه خليه يتيليشارجا أومبعد شوفو كامل,algeria
ما نبالغش..كنقول تونس كاملة #تحبها كممثلة ناجحة ومن أحسن الممثلات في تونس  <3,tunisia
بجد صح وعنك حق يا احمد سيد,egypt
الموف لي جابتهالها فتيحة مالعمرة,algeria
جع ما صنفها,morocco
قاعد و المشكلة تلعب في الدومينو كارتة كارتة,algeria
خممت فيها,algeria
مليح حبيت نقول يفهم,algeria
تعرفاها سارة,algeria
حتى هدي راهي تسجلت,algeria
يالله نمشيو ل تما,morocco
ملاحة ، كون غير رحتي,algeria
مكنتش أعرف ان جمال ابن نكته,egypt
نوجد ليك كمبريمي,morocco
هادي هي المصيبة هوما تيتبعو صافي و معرفين والو,morocco
غدوة راني مسافر,algeria
المرة لي فاتت حنا عينين و هما عادي بزاف,morocco
"وأنظروا أيضا لأول و ثانى تعليقين فى الصفحة الأولى ""حبيبي رديت فيا الروح"" !!!! هاهاها",egypt
حتى للصباح باش جا سليمة,algeria
"بصح , ولكن العلم شي حاجة كتستحق نتعبو على ودو",morocco
ممثلة كبيرة ومحترمة ولايوجد منها الكثير في تونس,tunisia
كان الريق البارد,tunisia
