text,class
imta wSlti l Settat,morocco
o ach gal ra2is dyalk flkhdma?,morocco
imkan lik tkhdam b lkhara2it dyal Google...,morocco
ghadi nsawlo!,morocco
Bravo bravo :),tunisia
hada mochkil 7a9i9i,morocco
wach nta dima katfakar f tlj?,morocco
ana ankon Octopussy.,morocco
mamstoooooo lotfi,tunisia
7at tilifonk b3id 3afak,morocco
Masa7 wejhek,tunisia
8adik 7aja khra,morocco
kan kayghani 7tta fn3aso.,morocco
imta ghatzewwji?,morocco
KARIM MASTE BARCHAAAAAAAAAAAAAA,tunisia
ana mt2kked,morocco
mostach?!,morocco
che3ri de8bi,morocco
Bravo,tunisia
wach kayen chi sou2al?,morocco
mayb9ach fik l7al!,morocco
7it imkan aykhasni nakol chi haja,morocco
3al 7iiiit mariem,tunisia
Mat7chemch 5amjaa,tunisia
3arf bli kayn bzaf t nnas kaykhdmo m3a dour lmosinin,morocco
hhh 7afletha,tunisia
najma,morocco
sedd 3inik,morocco
RAK LASET,tunisia
wa moudda hadi machfnak,morocco
Ena n7ebha,tunisia
"wakha, tkhayal nhar ywali safar lfaDa2 tijari",morocco
3Tini flosi,morocco
choufli,tunisia
3lach nta maghadich?,morocco
sa5if,tunisia
tfouh alikom hhhhhhhhhhhhh,tunisia
ghadi nde9 ljaras bach yji chi wa7d yjib lik l9hwa.,morocco
matwa9a3tch hadchi,morocco
saadia mosbah lol masrouka l fekra men aand mikeposnervevo ni took a pill in ibiza,tunisia
M3aaalem weli 3ala lseno y9olou ! W rabi yechfilek El wled !,tunisia
yalla8 ! ghadi nchri lik lghda,morocco
A7la moumathla tounsiya,tunisia
chno bghiti takol fel fTour?,morocco
hadi lwe7da nichan,morocco
ah kanDnn bila rah mo8imm bzaf,morocco
mchina!,morocco
Barcha skhat 3la rassek,tunisia
Wa7dek w sami barvo,tunisia
sSfer makayajich m3aya bmarra,morocco
"La, ana machi bikhir.",morocco
mn be3d,morocco
7na m7bousin,morocco
Mamstou w lé hadhmtou,tunisia
sawwebt kika dyal chchklaT,morocco
kifach kayttsta3ml?,morocco
"ila kanti mstressi okat7taj 3oTla, fhadchi maghadi iddi ghir ma kfes",morocco
m3allma,tunisia
7na bezzaf,morocco
hadi hya lmra lkhamsa had chhar!,morocco
3sall bou zink,tunisia
mchghoul,morocco
machr7och 3lach?,morocco
ala kenna ghanmoutou,morocco
machi 7san,morocco
walakin Jmiaa kant bant ghzala,morocco
ili yheb choufli hal ydayer jem,tunisia
"oh, bSSe7, Tab3an",morocco
3arDin 3lina chi nas,morocco
mouch normal hal mhalim bdit nithalek biiiiiiiih,tunisia
ana khayf wahd chwia,morocco
"baraka 3lia, daba nwrrek.",morocco
kayn bzzaf mayddar wakha hakkak,morocco
gelt8a lik,morocco
twe77cht DDe7ka dyalk,morocco
nn8ar li bghiti,morocco
wach 7ta nta katsma3 lihom mora l7yoT?,morocco
"bghit nmchi m3ak, walakin machi lyom",morocco
A7sen chanteur de tunis,tunisia
Nchallah tnajmou tsalhou chway fi hadhi lebled belha9 tounes tharawetha 4aniya 3ani ta3rif ama sore9 fi halebled kathrou,tunisia
vraiment amine masset yeser elbarnemej wtaffhou barcha,tunisia
chkon fihom lli 7sen?,morocco
jabri yessir w masit -_-,tunisia
Mch nrml yesir bravo,tunisia
ankon bo7di f blad makan3rf fiha tawa7d,morocco
thabel hhhh,tunisia
"amrica ljanobiya kant fchkal, mkhtalfa 3la lblad",morocco
"Sayd flb7ar, dourat b lfloka...?",morocco
kayn tma ta9riban 10 dyal lmamrat o jouj madrribin,morocco
"ana kan7drak, rah hia ola ana.",morocco
kanzre3 nnabatat,morocco
Southe beeeeeeeeehi,tunisia
ghadi na7taj bzaf dyal lma bach ndawz ga3 had bTaTa,morocco
"ila kan nniDam 9dim o fat 3lih lw9t, fa hada rah mochkil dyal mowadafin 3ndek, yak?",morocco
Hhh mala manather mkalba,tunisia
Ya go3er,tunisia
bghit n contacti ssifara dyalna,morocco
ghadi n7awal nw9af tchghil omanfakrch fhadchi,morocco
homa drayfin bzaf,morocco
hadchi moD7ik,morocco
franchement clip mouch norml bravo bendirman 3mal l8naya soutek impecabl et je l aime bien le clip,tunisia
"lmodirin lkhrin flmosatawa dyalo, makan3rfoch 3lihom bzaf",morocco
makatderrni 7tta 7aja,morocco
3ndi man9Di,morocco
khssni ntrini 3la l'anglais,morocco
bghitini njib lik l3aSir dyalk l7ammam dyalk,morocco
ghadi nakhod 98iwa,morocco
kifach wSlna lhna,morocco
thabel <3,tunisia
awlla?,morocco
a7la sout  !! bravo..!,tunisia
wakha ttrjem lia hadi,morocco
wach kaTeyyeb l3cha?,morocco
Àmé Nï Amouna,tunisia
Bravo waslou déjà ena e7kit m3ekom w rabi iwaf9kom entoume Zeda,tunisia
kol we7ed w moumayizetou,tunisia
"wach men niytek, hada rah kelb dial ddar, fach bghit nkherjo f chta mabghach, o bal lia ghir fl9ent, o b9a kayjerr f sensla dialo bach yrj3 l ddar.",morocco
chrif aa mrgl mafibelich ama mayjich borjoulia dharba dharbtin fil mediaa,tunisia
lma7all 7all,morocco
"lla, mazal, walakin fikra mzyana!",morocco
akid lla,morocco
"7ta ana,bsnan dyali istina3iyin ondaderi lkbar, machi zwina bzef...",morocco
bari ma5ybk,tunisia
makaynch téléphone man instagram,morocco
Heyla,tunisia
Wlh yeser tmathel. Bravo,tunisia
ahlan Aziz,morocco
"bnisba l lyoum, ghadi ykon 150 dollar",morocco
l7ayawanat kay3ichou f lghaba,morocco
"ah, idan ghadi tkon nta dki 3liya",morocco
nnn7bkkk,tunisia
"haha, makaynch 7ta chi ma7al b7al hada.",morocco
tcherrft b ma3riftek,morocco
hadchi tayban mo8imm.,morocco
lay3awn,morocco
chkon nta,morocco
3la rtifa3 10 amyal fo9 sat7 l2arD,morocco
Im3alam,tunisia
Tefeh yeeeeeeessir,tunisia
Une équipe qui promet bettawfi9,tunisia
fnafs lwa9t,morocco
ka3jebni zzbib,morocco
chi wa7ed khlla chchal dyalou,morocco
charaf liya n3awnek,morocco
"ssyda tmak hbila, okatrmi lbaTl 3la ayy wahd!",morocco
fin kan 3e9li?,morocco
kantmana yakhdam,morocco
ta9dar tabghi chi machrobat wla chi 7aja,morocco
hani mchit n3es.,morocco
kandir ssiba7a,morocco
walakin rah n9ddo n3omo chwia,morocco
Bravo amine continue vers la réussite,tunisia
daba ghandoz l,morocco
MA7LAHA,tunisia
Bravo samir,tunisia
tarikh lbachariyya,morocco
"3afak, ghadi na3tih lik",morocco
ymken ykouno kber mennek bezzaf.,morocco
kan nhari mkalmi,morocco
tgheddit bezzerba,morocco
ach ban lik flfikra dyal nachaT?,morocco
bghit nchreb kas dyal atay,morocco
ana moul7id,morocco
werrini men b3d.,morocco
mastin,tunisia
kifach tjer2ti t9ol 8adchchi,morocco
kannsa chi 7wayj,morocco
kayban lia ghadi ykhSni ndeddel lblaSa...,morocco
8owwa bgha ymchi l 2ifri9ya,morocco
hani kan7awel nsift message l dak lli khddam m3aya fl biro.,morocco
MALLA TAFAHA,tunisia
ghadi ghir tfakarni bli makan9darch n9awm,morocco
NOUR RAK MALLEM,tunisia
3lach lla,morocco
"katferej fl aflam, katchark fl al3ab, o kayna mktaba...",morocco
o kayballik n9dro ntsaT7o m3a chi 7ayawanat?,morocco
w li maya7kich franÃ§ais mehoush mtha9ef ma tekdhboush 3la rwe7kom 99 m twensa maya3rfoush yaamlou paragraphe bel 3arabiya,tunisia
raby yahdik,tunisia
bda kayDlam l7al,morocco
"kankhdam mn dar, dakchi 3lach mzyan tkhraj chi sa3at wla rah maghadi nchof 7ta chi 7ad nnhar kamlo",morocco
Mallem,tunisia
zabor,tunisia
kantmana matkonch m9ala9 mn hadchi,morocco
"ah, bta3rif",morocco
lyoma bard l7al bzzaf,morocco
kaygolo lih smiyat b7al 'l3yon lmoraba3a',morocco
A9wa émission t3adét lyoum .. merciiii,tunisia
chouf ydiya kaytre3do tana,morocco
"ayeh, 3reft ch7al men 3am wana kanjedded f had l contra",morocco
ana mt2ekked mya f lmya,morocco
man9drch nfakar fchi haja khyeb mn jo9 dya zbal kayghnniw llil kaml,morocco
kanwejjed li8,morocco
achno ghatlbes?,morocco
hadi awal mra ghadi ntir fiha.,morocco
kantmna lik ol madam ri7la sa3ida,morocco
ghadi ykhSni nkhelikom ntoma bjouj bo7dkom,morocco
"ssimana lli fat, Said ktb risala l Sa7bo?",morocco
Amset menou meritch,tunisia
ana 3yyana,morocco
kheddmat mo799i9 khaS,morocco
ana m7taj hadi bach noSl tmma ghdda,morocco
yallah nreDo balna.,morocco
olla chark f tamrin lma2i,morocco
nta 3ndak Sa7,morocco
MASE5 WE TAFAH,tunisia
Bnesb il gafsa bech tab9e kem heya mouchbech ytlftelh 7ata wa7ed ilkol w3ode kedha y5dmo ken masl7hom,tunisia
kantmnna yf8em,morocco
kay8Dro bzzaf,morocco
sa3a sa3ida hadi daba!,morocco
kefta dial ll7em,morocco
wach 3ndk SSrf dyal 200 dhs?,morocco
"3Tini dak lktab, 3afak",morocco
chta kaTTi7,morocco
dyalmen 8ad tt9acher?,morocco
sm7 lina makan9blouch carte bancaire,morocco
nti dkyya bzzaf,morocco
Bravoooo samir et bonne continuation ..,tunisia
2000 klma,morocco
masa5,tunisia
swwelni,morocco
3emmrek tgol 8adchi,morocco
ch7al zwin annani nchofk!,morocco
klemou logique w ya3ref ya7ki  bravo  :),tunisia
baraka men nnamima,morocco
lyouma tarikhi,morocco
o rak 3arf ch7al 3ziza 3lia zzebda o lformaj o lmakla lbnina,morocco
maymkench lik tsowlni daba? mo7al nkon hna fl 7iSSa jjayya,morocco
hadi sa3tayn o ana kantsnnak,morocco
kay7es brasou bikhir lyoum,morocco
kangoul wld8a ghaykon zwin b7al8a,morocco
machi 7ta 9riba,morocco
ina dawla kat3ejbek?,morocco
yahasra,tunisia
ana malabesch tt9acher,morocco
bghitk,morocco
kansm3ek mzyan,morocco
khalina nmchiw nadiro chwia t rimaya,morocco
ch7al mn merra kenti f okranya?,morocco
makannakolch lbeSla,morocco
wach nta msbiTer?,morocco
Loubna dwzat zbbala tlw9t katwrrini kifach nch3lo o ncharjih o nSift les emails,morocco
kannakol ssabanikh,morocco
3ndo ttamarin dyal mdrassa khsso ydir8oum,morocco
chno derti b SSalir dyalk?,morocco
fin ghatsafer?,morocco
rah aSli bzaf,morocco
nchofak lmara jaya,morocco
Baya ana mata3jibnich wi manich 3arif chibaha tharba tharbtin tirikil bi roubitha rabi isabar 3alina la3 9al,tunisia
achmn nou3 tlmosi9a kay3jbek?,morocco
dir llSa9,morocco
Lokza mamstou 9edech msatek khih,tunisia
kaydiro bzaf dsnin dyal l9raya!,morocco
ana 3arf!,morocco
Bravo tawfik,tunisia
tfih 3lik jeya 3eryana barri ostri rou7ek wallahi 3ib filli jebek 3melti el3ar e7chme 3la rou7ak t a oubliÃ© que tu es arabe musulmane les gens ont raison pour la fermeture de cette chaine,tunisia
howwa ma3endouch SSber,morocco
WAW  bravo maysoun,tunisia
7yati momilla,morocco
"chkon kan fl jtima3, o wach kolchi tSrraf mzyan?",morocco
khlini nchof,morocco
kent f 2asya,morocco
wach kadan bli khasna ntlbo lmosa3ada?,morocco
Oh... o 3lamen khaSSni n3rD?,morocco
knt kan9sad ila l9ina l7jar machi 9dafna l7jar.,morocco
l kelb dyalo kaynbe7 bzzaf,morocco
Mech menek......akthir moumathel nakrhou,tunisia
walakin hoa rah wa9af b3da l indar tl7ari9,morocco
ya  bouchleka rajja3 IL MILIARD,tunisia
Chammmsedddine wabbbbna  tfiiiiihhhhhhh,tunisia
lli bghiti,morocco
"hadchi mazyan, wach drti chi S7ab 8na?",morocco
bravo wlh il faut toujours changer n5edmett les clash ma3andha wine twassell 3,tunisia
3ejbetni barcha ema metchaw9a chkounou weld chrif,tunisia
bghit nghsl ydia b Sabon,morocco
3inik zwinin,morocco
ma3raftch 3lach,morocco
lachmn blad mchiti?,morocco
"wakha, goliya chno jabk 8na",morocco
7it 2ala katkhlina ntwaslo mn b3id bla ichara.,morocco
"la, machfthomch",morocco
kif dayer?,morocco
amine wlhi sa7bi le fhimt minnik chy,tunisia
kaddir pikala?,morocco
hadchi kan l3am lli fat,morocco
s8it,morocco
imkn nakhdo chi machrob bjoj?,morocco
khsshom ikono 9rab lb3Diyathom,morocco
t3adelna,morocco
achno ra2yak f lbTaTa?,morocco
makhlla ghir rrich mli kan kharaj,morocco
wach bghiti chi jaw ikon khas?,morocco
walakin makanDnch wach kant b3ida bzaf,morocco
"kabda dyalk, sm7lia",morocco
lmagana dyali 7bsat,morocco
maymkench!,morocco
"makanch hakka, fechechtih bezzaf!",morocco
bidoun i7sas,morocco
yakma khaSSak chi 7aja?,morocco
kay3jbni ntferrej f l 2aflam rromansiyya,morocco
had khona lay3mmrha dar,morocco
tan9tar7 annak tsm3 ktr o thdr 9ell,morocco
matb9ach tbki,morocco
khantkheSeS f daka2 lsTina3i,morocco
dik restora maghalyach,morocco
walakin imkan lina n7awlo nmchiw l9dam f nafs l2itijah,morocco
chkonahoa dak rrajl lli lhih?,morocco
chokran mli hderti m3aya o 8ddentini,morocco
machi 9rib,morocco
m3allem w klemou yeser logique w nsad9ou fi kol harf y9oulou,tunisia
m3alllllim Hsin Dik rabbi m3ak,tunisia
ota7 talj chi rba3 ayam mtab3a,morocco
wach kat3rf tTyyeb,morocco
watarni h boulabyar,tunisia
lyoum skhoun l7al,morocco
nsit.,morocco
ghadi nsoniw 3lik mnin ikono cocktails wajdin,morocco
"olla makayn tta haja fchkel, hir routine lli m9ell9ek?",morocco
chokran lik a Tbib,morocco
kantmnna maykonch hadchi!,morocco
aykhsak tjma3 majmoa3at mn tlata dyal Talaba,morocco
makanakolch rrouz,morocco
daba nredd 3lik lkhbar,morocco
kayban liya khasna nwajdo dkhla bl7ot,morocco
hhh slee3,tunisia
chef dyali maghadich ikon fr7an,morocco
Vrémon bravoooooo,tunisia
3lach?,morocco
chokran 3la nnaSi7a,morocco
ach kat9sad b Thai?,morocco
hhhh!,morocco
kaytsenna ttran,morocco
dima kannakhoud lbiD mslou9 f lfTour,morocco
bghit chi Tbla 7da chrjem,morocco
wach kat3raf chnahya tawa9o3at?,morocco
"ewa, wakha",morocco
ma3ndich ttelj,morocco
"3andna anchita makhtalfa, kansawlk!!",morocco
hadchi kayda7ek sara7a,morocco
chof ch7al mkarfSin rajliya,morocco
ah kanDn,morocco
3refti ach kan9Sd?,morocco
katl3b rryaDa?,morocco
Wa7dek ye #ja3four 5miiis 3liiik,tunisia
darori khasna nmchiw nt9ddaw!,morocco
maset laset -_-,tunisia
"jrit bach nchad l7afila, lwit ka7il dyali",morocco
o daba 3achna fsalam lmoda dyal 70 3am f oropa,morocco
chwa wla chi 7aja 7san,morocco
fooooor,tunisia
hadchi ghir kayzid yakhyab,morocco
finmma kayn l7ob kayn l 2iman,morocco
Lay3awn assi Abderrahim,morocco
fkkarti fkolchi!,morocco
"ayeh, howa hadak!",morocco
chwia ghabiyya,morocco
makantsewwe9ch l7tta wa7ed,morocco
mansitch,morocco
dima 3ssel 3aychoucha,tunisia
wach imkan tchr7i lia kifach ndir had lkhadma 3afak?,morocco
bghit njib chikhat... wach kaDnn bli srbay ghadi i9bal?,morocco
Yesr 9o7b,tunisia
khoudou olla khlli8,morocco
massssta,tunisia
"hadchi cha3iri li katgoul, walakin rah machi ijabi!",morocco
ch7al dayra,morocco
mabghach,morocco
ana flmaTar,morocco
"mttaf9, walakin tanDim ghadi ykon ktar mn haka",morocco
o chokran 3la Trf dyal chokolata,morocco
wazt t9riban nn8ar kaml kanktb chi 7aja kant bghit nkhdem 3liha,morocco
klm klm 100 100 100,tunisia
tfouh 3la hal manather,tunisia
cliiiip heyeeeeel,tunisia
tlebt kridi mn lbanka,morocco
lmektaba 7alla,morocco
Wa7dek,tunisia
l2ijtima3 ttelgha,morocco
"malla bahloul whaika ilbhim ,kfaih yithhak  mythahkouch",tunisia
sabab l9aswa dyalhom 3lih 8wa 7itach kaylbas ndadr,morocco
walakin kantaf9 m3ak...,morocco
nari 3la fDi7a,morocco
3endo khala Sghira f 7enkou,morocco
klemha s7i7 matist7a9ich inha tkoun mis,tunisia
Pffff matefhek w mamestek,tunisia
ssoum3a dyalk maghadich tt7essen.,morocco
ahlan achno bghiti nakhod lik?,morocco
mala 97ab,tunisia
3ndi machakil flkhdma,morocco
makan8Derch bl3arbiyya,morocco
wach 3andak burger bla bSla?,morocco
mn jihtek?,morocco
"tsenna, rah yallah dert lma l ch3ria.",morocco
Msatet,tunisia
wrrini kifach kadir liha,morocco
kifach tlbas nDaDr kayl3ab dawr fhad l2a3mal lwa7chia?,morocco
yé 7asra,tunisia
"kif kaygolo, ila kanti makatbghich t3ich 8na, sir 3ich f blasa khra",morocco
"hani kan3lmek, imma Rachid imma ana.",morocco
kayna blasa!,morocco
ana mchit,morocco
ta7an w miboun,tunisia
rak mazal faya9 walakin kan9tara7 3lik tmchi tn3as,morocco
"la, imkn hir ana mr3oud",morocco
jrreb chi Trf mn a7san l7em 3ndna.,morocco
l9mer moSiba,morocco
kayban zwin f8ad lonsombl,morocco
mal9itch fin npparki,morocco
moch 5ayib bidaya mowaf9a,tunisia
khaso yrTab bzarba flma,morocco
nta ach?,morocco
nsa 3lik ddrari rah mcha 3lihoum l7al,morocco
wlh jaw 3lihom mech normal fkol e3ada n3awed netfaraj hhhhhh,tunisia
Sara7a knt kanfakar nbadal lkhadma,morocco
3aSir dllimoun,morocco
jraw 3li8,morocco
yalla8!,morocco
"haja khra, wach chfti, chmch rah rj3at!",morocco
lmakla mabninach,morocco
chwia,morocco
achno gal ba3d dakchi?,morocco
bin joj mawa3id,morocco
wach kayl3ab lgolf m3ak,morocco
wakha kansma3 bila lkhobz mazwinch lbaT,morocco
"donc 3ndna lbit lli fllor, rah kbir, ghatbda mn 7:00.",morocco
makankhTaTch n3rad 3la malika dyal inglatira,morocco
tTebla mdewwra,morocco
wach wakha nakhad bira?,morocco
kheSSni m9eSS,morocco
kheSSni kalkulatris,morocco
wakha t7TT lia hadi f Tomobil?,morocco
ana khayfa 3la Se77et8a,morocco
ana kantmnna mn 9lbi maTyabch l7am lbagri o salamon bjoj,morocco
hada hwa wa9t lmchrobat.,morocco
achman nak8at 3ndhom?,morocco
dderri SSghir bal f serwalou,morocco
bsa7 cha3ri l9sir imkan ikhlik tchak,morocco
Mala 7ala,tunisia
wow raw3a,tunisia
kanfeddel,morocco
wa skhoun l7al nit,morocco
ch7al o ana kantsenna TTobis,morocco
ki yheb  yfadlek yabda maset last,tunisia
hhhhhhhhhh BRAVOO,tunisia
machi khayeb o mkhtalf b7al lkhdma!,morocco
7na dima kandiro dakchi likatbghi,morocco
ryye7 8na,morocco
wach bghiti t8der 3la 8adchi?,morocco
ghadi ywSlo mn daba 3 d9ay9!,morocco
wach ghat7Der ll3rs dyalhom?,morocco
3ndi chi swy3at ndwzhom 9bal manakhad train,morocco
A7la hanen,tunisia
Bravo shakib sa7it (y),tunisia
ma3ndich l9odra,morocco
wach 3endek chi serwal zayed?,morocco
Ma3alam ou mink nit3alam,tunisia
3ndna la piscine lina bjoj,morocco
ana mt7amas bsa7 3la 7sab charik dyali,morocco
nta khasak tdbber 3la tilifon 7sen,morocco
3jboni bjouj,morocco
3lach masafrtich?,morocco
kat3jbni llogha lkouriyya,morocco
knt 3arf,morocco
gheTTI raSek b dderra,morocco
Mahouch metrobbi w bhiiiim,tunisia
kolla 7edd,morocco
Bravo ma7lekom,tunisia
majach 9eddi,morocco
fin rak ghadi?,morocco
bghit nnakol l3des,morocco
dima kayzid jaw zwin,morocco
ch7al tlwe9t 3chti 8na?,morocco
7it 3andna joj mjmo3at ghayjiw bach i7taflo,morocco
Raou3a,tunisia
3Tini lweSfa,morocco
ach kat9tar7?,morocco
8adchi fchkel,morocco
nta rah chibh 3ma.,morocco
"ana mt2ekked, 3la 7asab ddakira dialk f had lmawDo3, annak 3ziz 3lik lmawDo3 dial lmoste9bal dial ddoud.",morocco
ghanakhod nfs l7aja,morocco
aykhasna nl9awha,morocco
Mra s7i7a bsaraha..,tunisia
sme3T bli 3ndek m3a TTyab,morocco
manai moomen wrasek ntir beha w bik,tunisia
Rabi y5alilek akel tho7ka,tunisia
lmakla makafyach,morocco
ghadi nrja3 daba,morocco
ghadi nsayb lik chwia o tchouf achno ban lik.,morocco
wllat mochkila 3alamiya,morocco
t9riban... b7al sora dyalha ka mra chabba,morocco
bllati nchof fchkarti,morocco
ach katjik Amina?,morocco
"ana mo9awil dati, o kankhdam lrasi",morocco
ssimana jjayya,morocco
kanbghi nchTe7 we9tma sme3t chche3bi,morocco
wach n3awnk?,morocco
miskina,tunisia
Ma5yb Manfred,tunisia
kan chta s3ib bnsba lihom omakanDnch wach 3ndhom bzaf dyal lmakla,morocco
Bravo wasil,tunisia
Mala bnet wlh ma7lehom . Ti sa3at tel9a l5irr f bnaya 5ir men wlayeed,tunisia
Oufffff chbik 3bedtelna safi said ye5i on n'a plus de competences politiques fel blad??!!!,tunisia
kayn jaw khayb o chwiya dyal lma,morocco
ghlaDiti,morocco
wach matwe77echtich lmakla dyal ddar,morocco
jeddi mat,morocco
Bravo mekded shili .,tunisia
3awedt mn llewel,morocco
Driss kayn f ddar,morocco
sir w 7Der l 7ISSa,morocco
"wakha, hani ankhrj m3a lkelb!",morocco
la balouch 5ir,tunisia
mazal machft l ostad tl fizik,morocco
Masete barcha,tunisia
ach kayjik Mohamed?,morocco
"machi fhad lwa9t, ana kanstamta3 bchamch o kantarkha",morocco
had rrjal,morocco
wach hadchi kafi bach i3wweD 3la lwojod dyalk fhad l7abs?,morocco
Far5,tunisia
ja3fer 9al mahouch jlassi ma ta3melech 9ima lerou7ek raw ma m3abrek 7ad,tunisia
ma9adrch takhod chwiya dyal lwa9t tfkar fih,morocco
3afak sedd ddar,morocco
"la, bghit nmchi l amrica ljanobia oblkhosos lbrazil",morocco
ta9dar tsta3mal cho99a dyali,morocco
Oh...chkon likaykhasni n3rad 3lih?,morocco
nnass li kheddamin hna mziyrin makaykheliwch nnozala2 ykherjo bo7dhom,morocco
achawa kat3awd lyom?,morocco
"bDabt, lmchi mzyan bach t8Dm!",morocco
w ili tfarjou fel youtube mat7ebhomech n msata,tunisia
ola mokabir dyal sawt lli i9dar i3awna?,morocco
"idan, rah 3id miladi simana jaya, obghit ndir 7fla kbira.",morocco
ana kan9ra l9or2an lkarim,morocco
nta dka mnno.,morocco
bghit nmchi l arjontin onchof condors,morocco
ana fia jo3 ofat lwa9t dyal Tyab daba,morocco
ghadi nzour wa7d ssadi9a,morocco
Me3ejbetnich imed sekine 3ala omo bsaraha,tunisia
wach jak l3Tech?,morocco
ghadi ikhssni ntlab Archibald iSawb hadchi bzerba.,morocco
wach 3ndek chi dwa?,morocco
wach n9der nkhroj?,morocco
Masssa55,tunisia
ken chouftou 7aja tosle7 btounes 5ir mesa5afet mta3 hmal tfasdou filmojtame3,tunisia
TAFHA W MASS5A,tunisia
l3asba f omk l 9a7ba,tunisia
pffffff mamseth maysa,tunisia
bga3 l a7jam,morocco
8adchchi makayDe77ekch,morocco
7itach houma ji3anin,morocco
3afak ddini llmaTar,morocco
mala  marikkkkkk  w hala  moukerbaaaaaaaaaaaa,tunisia
obtaba3 ila kan chi iDtirab,morocco
selin aydas mais non il a des problÃ¨mes psychologiques le mec,tunisia
mama mriDa,morocco
ana 8na youmayn 8adi,morocco
wach hadchi machi fchkel chwyia?,morocco
kifma guelt lik flowl: bikhir!,morocco
l8adaf howa awwalan nchofhom,morocco
mn 7osn 7aDDi kan 3ndi chwia dyal lkhobz f ssak dyali,morocco
msatik,tunisia
sa7bak kayban liya makaynch 8na,morocco
ana kanfakar,morocco
5asithom kene dho7k ibakiwwwwwww,tunisia
7jbani ghlaD,morocco
3ndi maw3id m3a 2akhisa2i dyal romatizm m3a 3:00!,morocco
wakha ghadi ndiro o man ba3d ghadi n7taj nsrbi lklyan lli yalah ja.,morocco
lkora 3endek,morocco
"ayeh, t9der takol l7lwa kamla bou7dek fl 9niyet dialk!",morocco
kanmchi l laSal,morocco
ra8ib?,morocco
ghsel snank,morocco
tab38a jawz lhind,morocco
dour 3llimen,morocco
fin 8owwa lktab dyali?,morocco
kat9sad zyada?,morocco
"kanDenn kan khss n7Der tana, hir hoa maTl3atch lia fl brnamaj dyali.",morocco
Mase5 we9leb lvista,tunisia
loghawiyin moD7ikin,morocco
"la, hadak tilifon dyal Naima",morocco
massage?,morocco
